"Title","Company","Location","city","state"
"Full Stack Engineer - React Native, IOS, SWIFT","CyberCoders","New York City, NY","New York City","NY"
"Revenue Cycle Business Analyst","Capitol View Bldg 1600","Nashville, TN","Nashville","TN"
"Database Management Analyst","Avosys","San Antonio, TX","San Antonio","TX"
"Development & Integration Data Analyst","Axiologic Solutions","Washington, DC","Washington","DC"
"Data Platform Technical Development Lead","Critical Path Institute (C-Path)","Tucson, AZ","Tucson","AZ"
"Application Developer","CFD Research Corporation","Phoenix, AZ","Phoenix","AZ"
"Data Analyst, Business Analysis & Reporting- Lakeland","Publix Super Markets, Inc.","Lakeland, FL","Lakeland","FL"
"RISK ANALYST","Cottonwood Financial","Irving, TX","Irving","TX"
"Data Engineer - Healthcare, Critical Thinking, Design Pipelines","CyberCoders","Boston, MA","Boston","MA"
"Lead Backend Engineer (Node.js)","CyberCoders","San Francisco, CA","San Francisco","CA"
"Principal Product Architect - US","Infosys","Palo Alto, CA","Palo Alto","CA"
"Entry level software engineer- JAVA/.Net Developer","Itlize Global, LLC","Piscataway, NJ","Piscataway","NJ"
"Software Engineer","Massachusetts Institute of Technology","Cambridge, MA","Cambridge","MA"
"Director of Technology","Asteri Networks","Shreveport, LA","Shreveport","LA"
"Data Analyst","Zel Technologies","Melbourne, FL","Melbourne","FL"
"Machine Learning Architect","AT&T","Washington, DC","Washington","DC"
"Sr. Technical Manager / Data Engineer","Talus Partners","Providence, RI","Providence","RI"
"Development Data Analyst","ASET Partners","Washington, DC","Washington","DC"
"Mgr, Product Reporting","Spectrum","Greenwood Village, CO","Greenwood Village","CO"
"Senior System Architect, Content Metadata","AT&T","El Segundo, CA","El Segundo","CA"
"Mgr, Product Reporting","Spectrum","Denver, CO","Denver","CO"
"Data Engineer","VanderHouwen","beaverton, OR","beaverton","OR"
"Leader- People Analytics","Ford Motor Company","Dearborn, MI","Dearborn","MI"
"Data Analyst","Collabera","Rochester, NY","Rochester","NY"
"Senior, Advanced Analytics, Data Visualization","AT&T","Atlanta, GA","Atlanta","GA"
"Executive Assistant","MResult Corp","New York City, NY","New York City","NY"
"Data Integration Developer","Hays","Tampa, FL","Tampa","FL"
"Behavioral Science and UX Researcher","Vectorform","Royal Oak, MI","Royal Oak","MI"
"Software Engineer","Ask Staffing","Alpharetta, GA","Alpharetta","GA"
"Quantitative Researcher / Python Developer","Kforce Inc","Austin, TX","Austin","TX"
"Business Analyst - Digital Assets","Kforce Inc","San Diego, CA","San Diego","CA"
"Lead Business Intelligence/Online Data Analytics","Kforce Inc","San Diego, CA","San Diego","CA"
"Senior Cyber Defense Engineer","CyberCoders","Arlington, VA","Arlington","VA"
"Software Engineer - PYTHON","CyberCoders","Boston, MA","Boston","MA"
"Data Architect","CyberCoders","Firestone Park, CA","Firestone Park","CA"
"Solutions Architect - Deep Learning Developer","NVIDIA Corporation","Remote, DC","Remote","DC"
"Senior Software Engineer - Kernel Development","CyberCoders","Arlington, VA","Arlington","VA"
"Full Stack .NET Developer - Angular - Up to $165k","CyberCoders","Manhattan, NY","Manhattan","NY"
"Data Engineer","CyberCoders","Firestone Park, CA","Firestone Park","CA"
"Full Stack .NET Developer - Angular - Up to $165k","CyberCoders","New York City, NY","New York City","NY"
"Sr. Data Engineer","Matrix Resources","Raleigh, NC","Raleigh","NC"
"Wearable Technology Engineer","Fountain Group","Orenco, OR","Orenco","OR"
"Embedded Validation Analyst","Fountain Group","Corvallis, OR","Corvallis","OR"
"Embedded Validation Analyst  - Wearable Technology","Fountain Group","Orenco, OR","Orenco","OR"
"Embedded Validation Analyst","Fountain Group","Orenco, OR","Orenco","OR"
"Sr. SCADA Engineer","CyberCoders","Herndon, VA","Herndon","VA"
"Wearable Technology Engineer","Fountain Group","Corvallis, OR","Corvallis","OR"
"Data Engineer","Kforce Inc","San Diego, CA","San Diego","CA"
"Data Product Engineer","Corporate Main Campus","Nashville, TN","Nashville","TN"
"Senior Manager Information Systems (IS) – Advanced Analytics and Business Intelligence","Amgen","Tampa, FL","Tampa","FL"
"Clinical Data Manager II/Principal Clinical Data Manager","Boehringer Ingelheim","Ridgefield, CT","Ridgefield","CT"
"Enterprise Sales Representative","Simplilearn","Cary, NC","Cary","NC"
"Big Data Engineer","Intelliswift Software","San Diego, CA","San Diego","CA"
"Digital CRM Analytics, Associate","Analytic Recruiting, Inc.","New York, NY","New York","NY"
"API Design Manager","Company Confidential","Arlington, VA","Arlington","VA"
"Senior Business Process Analyst","Parallon","Nashville, TN","Nashville","TN"
"AI Specialist/Trainer","Company Confidential","Atlanta, GA","Atlanta","GA"
"Systems Engineer III- Automation, Configuration, Operational Analytics","Spectrum","Greenwood Village, CO","Greenwood Village","CO"
"Business Analyst with Agile and Institutional Retirement Products","iTech Solutions","Enfield, CT","Enfield","CT"
"Data Quality Automation Analyst - Contract to hire - featured","iTech Solutions","Boston, MA","Boston","MA"
"Data Analyst","BTQ Financial","New York, NY","New York","NY"
"Marketing Account Manager","Ingram Micro","Irvine, CA","Irvine","CA"
"SDET","Randstad Technologies","Boston, MA","Boston","MA"
"Scrum Master for IT Data Strategy","Randstad Technologies","Reston, VA","Reston","VA"
"Data Engineer (Network Engineer)","redtoo, inc.","Raleigh, NC","Raleigh","NC"
"Master Big Data Cloud Analytics Developer","The Judge Group, Inc.","Creve Coeur, MO","Creve Coeur","MO"
"Senior Infrastructure Engineer","Space Telescope Science Institute","Baltimore, MD","Baltimore","MD"
"Business Intelligence - Data Analyst","Conduent","Florham Park, NJ","Florham Park","NJ"
"Associate Manager Advanced Analytics","Altria Client Services","Richmond, VA","Richmond","VA"
"Data Analyst","BTQ Financial, LLC","New York, NY","New York","NY"
"Central - National Account Manager","INC Research/inVentiv Health","Chicago, IL","Chicago","IL"
"Data Analytics Developer/Analyst","Northwestern Energy","Butte, MT","Butte","MT"
"IT - Quality Consultant - Highly Specilized","iTech Solutions","Boston, MA","Boston","MA"
"Data Engineer, Deep Learning","Bosch","Palo Alto, CA","Palo Alto","CA"
"Product Analyst","Dow Jones & Co.","New York, NY","New York","NY"
"Incentive Compensation Analyst","INC Research/inVentiv Health","Somerset, NJ","Somerset","NJ"
"Big Data Developer- Advanced","The Judge Group, Inc.","San Francisco, CA","San Francisco","CA"
"Tableau Developer","Randstad Technologies","Morrisville, NC","Morrisville","NC"
"Data Architect - SME II","Native Hawaiian Veterans","Huntsville, AL","Huntsville","AL"
"Data Modeler","Randstad Technologies","Tampa, FL","Tampa","FL"
"Global Supply Chain / Procurement Consulting Internship: 2018","AT&T","Lancaster, TX","Lancaster","TX"
"Global Supply Chain / Procurement Consulting Internship: 2018","AT&T","Dallas, TX","Dallas","TX"
"Data Analyst IV","TalentBurst","Mountain View, CA","Mountain View","CA"
"Sr Software Engineer-Personalization-Dig Engineer","Nike","Portland, OR","Portland","OR"
"Vice President, Data Analytics","World Wrestling Entertainment","Stamford, CT","Stamford","CT"
"Web Application Developer - .NET","Randstad Technologies","Cedar Rapids, IA","Cedar Rapids","IA"
"Senior Manager, Product Operations","DraftKings","Boston, MA","Boston","MA"
"Global Supply Chain / Procurement Consulting Internship: 2018","AT&T","El Segundo, CA","El Segundo","CA"
"Manager, Consumer Engagement Analytics","Under Armour","Baltimore, MD","Baltimore","MD"
"Manager, Testing and Personalization","The North Face","Alameda, CA","Alameda","CA"
"Senior Data Engineer - Katy","Academy Sports + Outdoors","Katy, TX","Katy","TX"
"Web Application Architect","Randstad Technologies","Cedar Rapids, IA","Cedar Rapids","IA"
"Data Recommender Liaison","Axiologic Solutions","Reston, VA","Reston","VA"
"Scientific Data Analyst","Zel Technologies","Patrick AFB, FL","Patrick AFB","FL"
"Application Developer","CFD Research Corporation","Huntsville, AL","Huntsville","AL"
"Visualization IT SME","ASET Partners","Washington, DC","Washington","DC"
"PRODUCT OWNER -Marketing Automation","The Judge Group, Inc.","Creve Coeur, MO","Creve Coeur","MO"
"Data Visualization Designer or Data Visualization Engineer","iTech Solutions","Springfield, MA","Springfield","MA"
"Cloud Security Engineer","Children's Hospital Of Philadelphia","Philadelphia, PA","Philadelphia","PA"
"Big Data Software Engineer (Advertising) - BIG DATA","AT&T","Plano, TX","Plano","TX"
"Digital Analytics Engineer","Agilent","Santa Clara, CA","Santa Clara","CA"
"Clinical Operations","Randstad Life Sciences","North Chicago, IL","North Chicago","IL"
"BIG DATA DEVELOPER","CAREERMONKS","Detroit, MI","Detroit","MI"
"Clinical Data Manager - Work From Home","Sarah Cannon Research Institute Clinical Operations","Nashville, TN","Nashville","TN"
"Labor Analyst","Mercy","Chesterfield, MO","Chesterfield","MO"
"Business Systems Analyst","TalentBurst","Marlborough, MA","Marlborough","MA"
"Senior Product Manager, NLP (Natural Language Processing) Core Department","UPMC Presbyterian Shadyside","Pittsburgh, PA","Pittsburgh","PA"
"Sr SQL/ETL Developer","Ingram Micro","Irvine, CA","Irvine","CA"
"Senior Director, Data Platform Engineering","Cox Automotive","Atlanta, GA","Atlanta","GA"
"Technical Writer, Baseball Data","MLB Advanced Media","New York, NY","New York","NY"
"Technology Manager, Marketing","DraftKings","Boston, MA","Boston","MA"
"Mid-Level Software Engineer","Axiologic Solutions","Reston, VA","Reston","VA"
"Visualization Software SME","ASET Partners","Washington, DC","Washington","DC"
"Sr Big Data AWS Developer","The Judge Group, Inc.","Malvern, PA","Malvern","PA"
"Software Development Engineer - FULL Stack","iTech Solutions","Brooklyn, NY","Brooklyn","NY"
"Senior System Architect, Content Metadata","AT&T","El Segundo, CA","El Segundo","CA"
"Full Stack Developer","Randstad Technologies","La Jolla, CA","La Jolla","CA"
"Data Privacy and Security Analyst III","Children's Hospital Of Philadelphia","Philadelphia, PA","Philadelphia","PA"
"Lead Data Engineer","TalentBurst","Irvine, CA","Irvine","CA"
"Visualization IT SME","Axiologic Solutions","Reston, VA","Reston","VA"
"Data Analyst","The Judge Group, Inc.","Burlington, MA","Burlington","MA"
"Sr. Advanced Analytics, DIRECTV NOW","AT&T","El Segundo, CA","El Segundo","CA"
"Student Informatics Associate I - Research","Children's Hospital Of Philadelphia","Philadelphia, PA","Philadelphia","PA"
"Analytics Specialist","Randstad Technologies","New York, NY","New York","NY"
"Visualization Software SME","Axiologic Solutions","Reston, VA","Reston","VA"
"Sr. ANALYTICS DEVELOPER (BIG DATA CLOUD)","The Judge Group, Inc.","Chesterfield, MO","Chesterfield","MO"
"Software Development Engineers - Perm Positions","iTech Solutions","Brooklyn, NY","Brooklyn","NY"
"Senior, Advanced Analytics, Data Visualization","AT&T","Atlanta, GA","Atlanta","GA"
"HANA Architect","Randstad Technologies","Charlotte, NC","Charlotte","NC"
"Programmer II","Children's Hospital Of Philadelphia","Philadelphia, PA","Philadelphia","PA"
"Data Flow I","Axiologic Solutions","Washington, DC","Washington","DC"
"Business Intelligence/Data Warehouse Architect","The Judge Group, Inc.","Irvington, NY","Irvington","NY"
"IOS Engineers / IOS Developers / Moblie Developers","iTech Solutions","Brooklyn, NY","Brooklyn","NY"
"Senior Backend Software Engineer (Cloud Services)","The Judge Group, Inc.","Redwood City, CA","Redwood City","CA"
"Architecture Design II","Axiologic Solutions","Washington, DC","Washington","DC"
"PRODUCT OWNER with SAP logistics module (F2F)","The Judge Group, Inc.","Creve Coeur, MO","Creve Coeur","MO"
"Senior Enterprise Security Architect","The Judge Group, Inc.","West Chester, PA","West Chester","PA"
"Senior Analytics Consultant","The Judge Group, Inc.","Atlanta, GA","Atlanta","GA"
"IT- Quality Consultant- Highly Specialized","The Judge Group, Inc.","Cambridge, MA","Cambridge","MA"
"Data Analyst - SQL","The Judge Group, Inc.","Burlington, MA","Burlington","MA"
"Data Scientist","WestRock Company","Duluth, GA","Duluth","GA"
"UR - Optimized Operations ( O2 ) Statistician / Data Scientist*","3M","Maplewood, MN","Maplewood","MN"
"Data Scientist - Search","Salesforce.com, Inc.","San Francisco, CA","San Francisco","CA"
"Data Scientist II","Microsoft Corporation","Redmond, WA","Redmond","WA"
"Data Scientist III","Fred Hutchinson Cancer Research Center","Seattle, WA","Seattle","WA"
"Data Scientist II","Expedia","Bellevue, WA","Bellevue","WA"
"Data Scientist","Capital One","Mclean, VA","Mclean","VA"
"Data Scientist, Deep Learning","Teradata Corporation","San Diego, CA","San Diego","CA"
"Customer Engagement Data Scientist","Tableau Software","Seattle, WA","Seattle","WA"
"Senior Data Scientist - Sam's Technology","Wal-Mart","Bentonville, AR","Bentonville","AR"
"Data Scientist: Modeling/Forecasting","Twitter","San Francisco, CA","San Francisco","CA"
"Senior Data Scientist","Kemper","Chicago, IL","Chicago","IL"
"Sr Data Scientist","DTCC","Tampa, FL","Tampa","FL"
"Federal - Data Scientist","Accenture","Annapolis Junction, MD","Annapolis Junction","MD"
"Data Scientist","CALIBRE","Alexandria, VA","Alexandria","VA"
"Data Scientist (Chicago)","Sears Holdings Corporation","Hoffman Estates, IL","Hoffman Estates","IL"
"Data Scientist, Senior","Booz Allen Hamilton","Springfield, VA","Springfield","VA"
"Applied Data Scientist","Wolters Kluwer","Waltham, MA","Waltham","MA"
"Data Scientist - Live Games","King","Stockholm, ME","Stockholm","ME"
"Junior Front-End Data Scientist","Mathmatica Policy Research","Washington, DC","Washington","DC"
"Federal - Data Scientist Manager","DayNine","Northeast, NY","Northeast","NY"
"Data Scientist-170016OJ","Oracle","Hanover, NH","Hanover","NH"
"Sr. Data Scientist (111752)","EA Phenomic","Redwood City, CA","Redwood City","CA"
"Senior Data Scientist","Lockheed Martin","Rochester, NY","Rochester","NY"
"Data Scientist - School of Hospitality & Tourism Management","Florida International University","Miami, FL","Miami","FL"
"Data Scientist-UIUC Innovation Center","Monsanto","Urbana, IL","Urbana","IL"
"Data Scientist - Technology Development","Centrica","Seattle, WA","Seattle","WA"
"Data Scientist Job","SAP","Palo Alto, CA","Palo Alto","CA"
"Senior Data Scientist","Ancestry","San Francisco, CA","San Francisco","CA"
"Data Scientist","DigitalGlobe","Herndon, VA","Herndon","VA"
"Data Scientist - Python","IMPAQ International, LLC","Columbia, MD","Columbia","MD"
"Data Scientist","University of Chicago","Chicago, IL","Chicago","IL"
"Data Scientist / Economist","eBay Inc.","San Jose, CA","San Jose","CA"
"Principal Data Scientist - Eden Prairie, MN or Telecommute","United Health Group","Eden Prairie, MN","Eden Prairie","MN"
"Data Scientist - Machine Learning Expert","L'Oreal","Paris, TX","Paris","TX"
"Data Scientist","Spring Venture Group","Kansas City, MO","Kansas City","MO"
"Federal - Data Scientist","Accenture Inc","Alexandria, VA","Alexandria","VA"
"Senior Data Scientist","Dotdash","New York, NY","New York","NY"
"Arity - Data Scientist-Sr Mgr","Allstate","Chicago, IL","Chicago","IL"
"Data Scientist","MacAulay-Brown, Inc.","Linthicum Heights, MD","Linthicum Heights","MD"
"Sr. Data Scientist","McGraw-Hill Financial","Glen Allen, VA","Glen Allen","VA"
"Data Scientist - Python","IMPAQ International LLC","Seattle, WA","Seattle","WA"
"Data Scientist","Johns Hopkins Applied Physics Laboratory","Laurel, MD","Laurel","MD"
"Data Scientist","Johnson Controls, Inc.","Milwaukee, WI","Milwaukee","WI"
"Data Scientist","Verizon Communications","Alpharetta, GA","Alpharetta","GA"
"ISC - Data Scientist","Ipsos North America","Culver City, CA","Culver City","CA"
"Data Scientist","TSR Consulting","New York, NY","New York","NY"
"Data Scientist - Search","Salesforce.com","San Francisco (HQ), CA","San Francisco (HQ)","CA"
"Data Scientist, Zoro US","W.W. Grainger, Inc.","Buffalo Grove, IL","Buffalo Grove","IL"
"Data Scientist, Healthcare (Starting Summer 2018)","The Advisory Board Company","Austin, TX","Austin","TX"
"Marketing Data Scientist","ICF International",":, VA",":","VA"
"Lead Healthcare Data Scientist","Coventry Health Care, Inc.","New York, NY","New York","NY"
"Data Scientist - Power System Analytics","Eaton Corporation","Southfield, MI","Southfield","MI"
"Principal Data Scientist - Machine Learning","Maxpoint Interactive","Morrisville, NC","Morrisville","NC"
"Associate Global Insights Manager - Data Scientist","The Clorox Company","Oakland, CA","Oakland","CA"
"Data Scientist","Zimmerman Advertising","Dallas, TX","Dallas","TX"
"Data Scientist (SAS) - Schaumburg, IL , Chicago, IL, or Eden Prairie, MN","UnitedHealth Group","Chicago, IL","Chicago","IL"
"Advanced Analytics Data Scientist","IBM","Springfield, MO","Springfield","MO"
"Lead Healthcare Data Scientist","Aetna Inc.","Hartford, CT","Hartford","CT"
"Sr. Data Scientist","The McGraw-Hill Companies Financial","Glen Allen, VA","Glen Allen","VA"
"Data Scientist","comScore, Inc.","New York, NY","New York","NY"
"Sr. Data Scientist","IAC","Oakland, CA","Oakland","CA"
"Sr Data Scientist","Symantec Corporation","Mountain View, CA","Mountain View","CA"
"Data Scientist - Power System Analytics","Eaton","Southfield, MI","Southfield","MI"
"Sr. Data Scientist Job (Aberdeen, MD, US)","SAIC","Aberdeen, MD","Aberdeen","MD"
"Data Scientist","AngioDynamics, Inc.","Marlborough, MA","Marlborough","MA"
"Data Scientist II","Expedia, Inc.","Bellevue, WA","Bellevue","WA"
"Deep Learning Data Scientist","NVIDIA Corporation","Santa Clara, CA","Santa Clara","CA"
"Data Scientist - (Job Number: 17007194)","McKesson","Alpharetta, GA","Alpharetta","GA"
"Gas Measurement Data Scientist","TransCanada","Charleston, WV","Charleston","WV"
"Sr. Data Scientist","Dictionary.com","Oakland, CA","Oakland","CA"
"Senior Data Scientist - iPhone Operations","Apple, Inc","Santa Clara Valley, CA","Santa Clara Valley","CA"
"Data Scientist - Contract 3-4 months","Chegg","Santa Clara, CA","Santa Clara","CA"
"Data Scientist","SpotXchange","Broomfield, CO","Broomfield","CO"
"Data Scientist","Roku","New York, NY","New York","NY"
"Manager, Data Scientist","WWE","Stamford, CT","Stamford","CT"
"Data Scientist/Analyst","Datahouse Consulting, Inc.","Honolulu, HI","Honolulu","HI"
"Data Scientist- Advanced Analytics-N. America Analytics","NIKE, Inc.","Portland, OR","Portland","OR"
"Sr. Data Scientist, CORA","Biogen Idec Inc","Cambridge, MA","Cambridge","MA"
"Data Scientist","Wiser Company","Springfield, VA","Springfield","VA"
"Data Scientist, Analytics","Facebook","Menlo Park, CA","Menlo Park","CA"
"Data Scientist","23andMe, Inc.","Mountain View, CA","Mountain View","CA"
"Manager, Data Scientist","WWE Careers","Stamford, CT","Stamford","CT"
"Data Scientist","McKesson Corporation","Alpharetta, GA","Alpharetta","GA"
"Senior Data Scientist","About.com","New York, NY","New York","NY"
"Data Scientist","Altamira Technologies Corp.","Chantilly, VA","Chantilly","VA"
"Senior Commercial Data Scientist- Diabetes Care","Ventana","Indianapolis, IN","Indianapolis","IN"
"Data Scientist","Amazon.com","Seattle, WA","Seattle","WA"
"Data Scientist","Skurt","Los Angeles, CA","Los Angeles","CA"
"Sr Data Scientist","Aetna","Wellesley, MA","Wellesley","MA"
"Semiconductor Patterning Data Scientist","ASML","San Jose, CA","San Jose","CA"
"Data Scientist Internship","Red Hat","Raleigh, NC","Raleigh","NC"
"Data Scientist","Wiser","Springfield, VA","Springfield","VA"
"Data Scientist","Gannett Co. Inc.","Mclean, VA","Mclean","VA"
"Data Scientist","Stride Health","San Francisco, CA","San Francisco","CA"
"Data Scientist - Social VR","Oculus VR","Menlo Park, CA","Menlo Park","CA"
"Data Scientist","AngioDynamics, Inc","Marlborough, MA","Marlborough","MA"
"Lead Data Scientist","Workday, Inc.","Pleasanton, CA","Pleasanton","CA"
"Data Scientist","MassMutual Financial Group","Boston, MA","Boston","MA"
"Data Scientist, Zoro US","Grainger","BUFFALO GROVE, IL","BUFFALO GROVE","IL"
"Sr Data Scientist","T-Mobile","Bellevue, WA","Bellevue","WA"
"Process Data Scientist (Woodbury, MN)","3M","Woodbury, MN","Woodbury","MN"
"Senior Data Scientist, Natural Language Processing","entelo","San Francisco, CA","San Francisco","CA"
"Sr. Data Scientist","Websense, Inc.","Baltimore, MD","Baltimore","MD"
"Think Big Analytics Lead, Deep Learning Data Scientist","Teradata Corporation","San Diego, CA","San Diego","CA"
"Data Scientist II","Expedia","Bellevue, WA","Bellevue","WA"
"DATA SCIENTIST-MS","Geisinger Health System","Danville, PA","Danville","PA"
"Data Scientist, Mid","Booz Allen Hamilton","McLean, VA","McLean","VA"
"Senior Data Scientist","Blue Shield of California","El Dorado Hills, CA","El Dorado Hills","CA"
"Data Scientist Analyst Stf","Lockheed Martin","Trumbull, CT","Trumbull","CT"
"Data Scientist","Qventus","Mountain View, CA","Mountain View","CA"
"Principal Data Scientist","ShareThis","Palo Alto, CA","Palo Alto","CA"
"Data Scientist","CardinalHire","Los Angeles, CA","Los Angeles","CA"
"Principal Data Scientist/Engineer","HERE","Seattle, WA","Seattle","WA"
"Data Scientist","Hewlett Packard Enterprise","Sacramento, CA","Sacramento","CA"
"Data Scientist","ManTech International Corp.","Reston, VA","Reston","VA"
"Federal - Data Scientist","DayNine","Northeast, NY","Northeast","NY"
"Data Scientist","MassMutual","Boston, MA","Boston","MA"
"BU Data Scientist, Pricing","Micron","Milpitas, CA","Milpitas","CA"
"Data Scientist - Engineer Staff","Goodyear","Akron, OH","Akron","OH"
"Sr. Data Scientist (103341)","EA Phenomic","Redwood City, CA","Redwood City","CA"
"Data Scientist - New Games","King","Stockholm, ME","Stockholm","ME"
"Data Scientist","National Opinion Research Center (NORC)","Chicago, IL","Chicago","IL"
"Think Big Analytics Senior Deep Learning Data Scientist","Teradata Corporation","San Diego, CA","San Diego","CA"
"Data Scientist","Iconma, L.L.C.","Chesterfield, MO","Chesterfield","MO"
"Data Scientist (m/f)","King","Berlin, NH","Berlin","NH"
"Quantitative Analyst / Data Scientist","Gtech Services","Dearborn, MI","Dearborn","MI"
"Data Scientist, Zoro US","Imperial","BUFFALO GROVE, IL","BUFFALO GROVE","IL"
"BU Data Scientist, Pricing","Micron Technology, Inc.","Milpitas, CA","Milpitas","CA"
"Data Scientist","Fooda","Chicago, IL","Chicago","IL"
"Data Scientist, Retail Analytics","VF Corporation","Greensboro VF  Corporate Headquarters - USA, NC","Greensboro VF  Corporate Headquarters - USA","NC"
"Data Scientist","Oracle","Seattle, WA","Seattle","WA"
"Data Scientist","SolarWinds","Cambridge, MA","Cambridge","MA"
"Data Scientist I","USAA","San Antonio, TX","San Antonio","TX"
"Data Scientist Senior Consultant - Edison, NJ","ReqRoute,Inc","Edison, NJ","Edison","NJ"
"Federal - Data Scientist","DayNine","Northeast, NY","Northeast","NY"
"Sr. Data Scientist","Euclid Analytics","San Francisco, CA","San Francisco","CA"
"Corporate HR- Workforce Analytics- Data Scientist","JPMorgan Chase & Co.","Jersey City, NJ","Jersey City","NJ"
"Sr. Analyst, Data Scientist","Aaron's, Inc","Atlanta, GA","Atlanta","GA"
"Senior Data Scientist","Roberts Recruiting","Boston, MA","Boston","MA"
"Data Scientist / Machine Learning Engineer - Application & Platform","Workday","San Francisco, CA","San Francisco","CA"
"Data Scientist, Global Insights","Blizzard Entertainment","Irvine, CA","Irvine","CA"
"Senior Data Scientist","AutoGrid","Redwood City, CA","Redwood City","CA"
"Data Scientist, Deep Learning","Teradata","San Diego, CA","San Diego","CA"
"Data Scientist","Microsoft Corporation","Redmond, WA","Redmond","WA"
"Operations Research Data Scientist-UIUC Innovation Center","Monsanto","Urbana, IL","Urbana","IL"
"Data Scientist","Verizon","Alpharetta, GA","Alpharetta","GA"
"Data Scientist","Convoy","Seattle, WA","Seattle","WA"
"Data Scientist - QuantumBlack","McKinsey","Boston, MA","Boston","MA"
"Sr. Data Scientist - Baltimore, MD","Websense","Baltimore, MD","Baltimore","MD"
"Data Scientist","Schlumberger Ltd.","Houston, TX","Houston","TX"
"Data Scientist I","General Dynamics Information Technology, Inc.","Camp Lejeune, NC","Camp Lejeune","NC"
"Data Scientist","Ford Motor Company","Dearborn, MI","Dearborn","MI"
"Data Scientist Intern","Illumina","San Diego, CA","San Diego","CA"
"Sr. Data Scientist/Business Intelligence Engineer","Amazon Corporate LLC","Seattle, WA","Seattle","WA"
"Data Scientist/Senior Data Scientist","The College Board","Reston, VA","Reston","VA"
"Principal Data Scientist","Capital One","Plano, TX","Plano","TX"
"Intern: Data Scientist, Analytics","The Climate Corporation","Saint Louis, MO","Saint Louis","MO"
"Federal - Data Scientist","Accenture","Annapolis Junction, MD","Annapolis Junction","MD"
"Data Scientist - REMOTE","PTP","Gold River, CA","Gold River","CA"
"Senior Data Scientist - Brighthouse Financial","Brighthouse Financial","Charlotte, NC","Charlotte","NC"
"Senior R&D Data Scientist","Plantronics","Santa Cruz, CA","Santa Cruz","CA"
"Senior Data Scientist","Microsoft Corporation","Redmond, WA","Redmond","WA"
"Data Scientist with TS-SCI","NuWave Solutions","Springfield, VA","Springfield","VA"
"Data Scientist","Hub International","Chicago, IL","Chicago","IL"
"Lead Cyber Security Data Scientist","FGM Inc","Rosslyn, VA","Rosslyn","VA"
"Federal - Data Scientist","Accenture","Alexandria, VA","Alexandria","VA"
"Data Scientist II","Microsoft Corporation","Redmond, WA","Redmond","WA"
"Principal Data Scientist","LeapYear","Berkeley, CA","Berkeley","CA"
"Data Scientist","Lockheed Martin","Rochester, NY","Rochester","NY"
"Senior Data Scientist - Brighthouse Financial","MetLife, Inc.","Charlotte, NC","Charlotte","NC"
"Federal - Data Scientist Manager","Accenture Inc","Annapolis Junction, MD","Annapolis Junction","MD"
"Data Scientist - Austin, TX","DELL","Austin, TX","Austin","TX"
"Data Scientist","United Services Automobile Association (USAA)","San Antonio, TX","San Antonio","TX"
"Lead / Principal Data Scientist - Security Analytics","Salesforce.com, Inc.","San Francisco, CA","San Francisco","CA"
"Lead Data Scientist","BCG Digital Ventures","Manhattan Beach, CA","Manhattan Beach","CA"
"Data Scientist - Clinical Informatics","City of Hope","Irwindale, CA","Irwindale","CA"
"Hadoop Data Scientist","Bank of America","Charlotte, NC","Charlotte","NC"
"Sr Data Scientist","Pinnacol","Lowry, MN","Lowry","MN"
"Data Scientist consultant","Kemper","Chicago, IL","Chicago","IL"
"Lead Healthcare Data Scientist","Aetna Inc.","New York, NY","New York","NY"
"Senior Associate - Cognitive Data Scientist Natural Language Processing","KPMG","New York, NY","New York","NY"
"Corporate HR- Workforce Analytics- Data Scientist-170099472_1","JP Morgan","Westerville, OH","Westerville","OH"
"Senior Commercial Data Scientist- Diabetes Care","Roche","Indianapolis, IN","Indianapolis","IN"
"Data Scientist","Ascena Retail Group","Pataskala, OH","Pataskala","OH"
"Senior Data Scientist - Power System Analytics","Eaton Corporation","Southfield, MI","Southfield","MI"
"Senior Data Scientist - Power System Analytics","Eaton","Southfield, MI","Southfield","MI"
"Lead Data Scientist","PayPal","San Jose, CA","San Jose","CA"
"Data Scientist (SAS) - Schaumburg, IL , Chicago, IL, or Eden Prairie, MN","UnitedHealth Group","Eden Prairie, MN","Eden Prairie","MN"
"Data Scientist III","Genesis10","Kansas City, MO","Kansas City","MO"
"Data Scientist (SAS) - Schaumburg, IL , Chicago, IL, or Eden Prairie, MN","UnitedHealth Group","Schaumburg, IL","Schaumburg","IL"
"Associate Data Scientist - (Job Number: 17006638)","Schwan Food Company","BLOOMINGTON, MN","BLOOMINGTON","MN"
"Senior Data Scientist","Spokeo","Pasadena, CA","Pasadena","CA"
"Sr. Assoc Machine Learning Modeler / Data Scientist","ZestFinance","Los Angeles, CA","Los Angeles","CA"
"Senior Data Scientist - Streaming Experimentation and Modeling","Netflix, Inc.","Los Gatos, CA","Los Gatos","CA"
"Data Scientist","Huawei","Santa Clara, CA","Santa Clara","CA"
"Jr. Data Scientist Job (Aberdeen, MD, US)","SAIC","Aberdeen, MD","Aberdeen","MD"
"Data Scientist","VHA Inc","Chicago, IL","Chicago","IL"
"Senior Data Scientist","Altamira","Springfield, VA","Springfield","VA"
"Data Scientist Intern","EnerNOC, Inc.","Boston, MA","Boston","MA"
